Capitalizaciones;Ganancia
1;200.00000000000000000
2;225.00000000000000000
3;237.03703703703700000
4;244.14062500000000000
5;248.83200000000000000
6;252.16263717421100000
7;254.64996970407100000
8;256.57845139503400000
9;258.11747917132000000
10;259.37424601000000000
11;260.41990118975300000
12;261.30352902246800000
13;262.06008878857300000
14;262.71515563008700000
15;263.28787177279200000
16;263.79284973666000000
17;264.24143751831100000
18;264.64258210976900000
19;265.00343266404400000
20;265.32977051444200000
21;265.62632139261100000
22;265.89698585377800000
23;266.14501186387800000
24;266.37312580686000000
25;266.58363314874200000
26;266.77849665337500000
27;266.95939778125700000
28;267.12778534408400000
29;267.28491439808100000
30;267.43187758703000000
31;267.56963059146800000
32;267.69901293781800000
33;267.82076512537800000
34;267.93554280957700000
35;268.04392861534600000
36;268.14644203008600000
37;268.24354773085200000
38;268.33566262745800000
39;268.42316184670900000
40;268.50638383899700000
41;268.58563475377500000
42;268.66119220325700000
43;268.73330851182900000
44;268.80221353133100000
45;268.86811708843200000
46;268.93121111897800000
47;268.99167153502600000
48;269.04965986289200000
49;269.10532468424200000
50;269.15880290736000000
51;269.21022089150000000
52;269.25969544371700000
53;269.30733470476100000
54;269.35323893818600000
55;269.39750123475800000
56;269.44020814263600000
57;269.48144023221100000
58;269.52127260345700000
59;269.55977534247300000
60;269.59701393302200000
61;269.63304962822600000
62;269.66793978678500000
63;269.70173817764700000
64;269.73449525651000000
65;269.76625841715200000
66;269.79707222024100000
67;269.82697860189900000
68;269.85601706414000000
69;269.88422484894800000
70;269.91163709761700000
71;269.93828699683000000
72;269.96420591266300000
73;269.98942351377800000
74;270.01396788468300000
75;270.03786563009100000
76;270.06114197110900000
77;270.08382083404000000
78;270.10592493240700000
79;270.12747584284200000
80;270.14849407533300000
81;270.16899913834600000
82;270.18900959919900000
83;270.20854314016000000
84;270.22761661054600000
85;270.24624607521400000
86;270.26444685967600000
87;270.28223359215000000
88;270.29962024277800000
89;270.31662016021700000
90;270.33324610581900000
91;270.34951028558500000
92;270.36542438004000000
93;270.38099957220800000
94;270.39624657384300000
95;270.41117564995800000
96;270.42579664191200000
97;270.44011898901700000
98;270.45415174887300000
99;270.46790361647600000
100;270.48138294215300000
101;270.49459774851500000
102;270.50755574634900000
103;270.52026434963700000
104;270.53273068968000000
105;270.54496162847400000
106;270.55696377128100000
107;270.56874347851600000
108;270.58030687704000000
109;270.59165987070500000
110;270.60280815047600000
111;270.61375720390000000
112;270.62451232414500000
113;270.63507861849900000
114;270.64546101647600000
115;270.65566427748900000
116;270.66569299811800000
117;270.67555161900600000
118;270.68524443143800000
119;270.69477558354000000
120;270.70414908622400000
121;270.71336881880100000
122;270.72243853433700000
123;270.73136186475700000
124;270.74014232567700000
125;270.74878332103300000
126;270.75728814747600000
127;270.76565999857100000
128;270.77390196880200000
129;270.78201705736000000
130;270.79000817181100000
131;270.79787813154100000
132;270.80562967111100000
133;270.81326544338800000
134;270.82078802257200000
135;270.82819990714000000
136;270.83550352254700000
137;270.84270122391200000
138;270.84979529852600000
139;270.85678796831600000
140;270.86368139211300000
141;270.87047766791500000
142;270.87717883499700000
143;270.88378687594700000
144;270.89030371862800000
145;270.89673123806700000
146;270.90307125823100000
147;270.90932555376800000
148;270.91549585165100000
149;270.92158383277700000
150;270.92759113348600000
151;270.93351934705200000
152;270.93937002504400000
153;270.94514467873100000
154;270.95084478035400000
155;270.95647176436200000
156;270.96202702868400000
157;270.96751193579300000
158;270.97292781389700000
159;270.97827595796100000
160;270.98355763078000000
161;270.98877406393200000
162;270.99392645878900000
163;270.99901598736400000
164;271.00404379327500000
165;271.00901099255200000
166;271.01391867449200000
167;271.01876790242300000
168;271.02355971452700000
169;271.02829512451900000
170;271.03297512238600000
171;271.03760067510300000
172;271.04217272726800000
173;271.04669220174600000
174;271.05116000030000000
175;271.05557700419100000
176;271.05994407474900000
177;271.06426205396800000
178;271.06853176496300000
179;271.07275401261600000
180;271.07692958394100000
181;271.08105924871200000
182;271.08514375982200000
183;271.08918385382200000
184;271.09318025131000000
185;271.09713365739400000
186;271.10104476208500000
187;271.10491424070200000
188;271.10874275426200000
189;271.11253094989100000
190;271.11627946111600000
191;271.11998890828100000
192;271.12365989886600000
193;271.12729302782400000
194;271.13088887787700000
195;271.13444801988300000
196;271.13797101306800000
197;271.14145840539200000
198;271.14491073376900000
199;271.14832852437900000
200;271.15171229292900000
201;271.15506254491800000
202;271.15837977585100000
203;271.16166447154000000
204;271.16491710829500000
205;271.16813815319900000
206;271.17132806428600000
207;271.17448729079000000
208;271.17761627332600000
209;271.18071544411900000
210;271.18378522722100000
211;271.18682603863600000
212;271.18983828660600000
213;271.19282237169200000
214;271.19577868701500000
215;271.19870761842100000
216;271.20160954462700000
217;271.20448483743500000
218;271.20733386180100000
219;271.21015697607000000
220;271.21295453210900000
221;271.21572687541000000
222;271.21847434530400000
223;271.22119727504300000
224;271.22389599194600000
225;271.22657081752500000
226;271.22922206765700000
227;271.23185005267500000
228;271.23445507743800000
229;271.23703744156800000
230;271.23959743946100000
231;271.24213536042500000
232;271.24465148882800000
233;271.24714610415700000
234;271.24961948113300000
235;271.25207188984300000
236;271.25450359581800000
237;271.25691486008700000
238;271.25930593933800000
239;271.26167708597000000
240;271.26402854820100000
241;271.26636057011900000
242;271.26867339184000000
243;271.27096724948900000
244;271.27324237534800000
245;271.27549899796700000
246;271.27773734213700000
247;271.27995762903300000
248;271.28216007631900000
249;271.28434489810400000
250;271.28651230514700000
251;271.28866250482400000
252;271.29079570125000000
253;271.29291209531400000
254;271.29501188475800000
255;271.29709526422700000
256;271.29916242534200000
257;271.30121355675300000
258;271.30324884418100000
259;271.30526847051100000
260;271.30727261581200000
261;271.30926145740300000
262;271.31123516990700000
263;271.31319392528800000
264;271.31513789296700000
265;271.31706723972000000
266;271.31898212990300000
267;271.32088272541000000
268;271.32276918568800000
269;271.32464166784300000
270;271.32650032668700000
271;271.32834531470300000
272;271.33017678218600000
273;271.33199487720400000
274;271.33379974567700000
275;271.33559153144200000
276;271.33737037620300000
277;271.33913641967100000
278;271.34088979951700000
279;271.34263065148700000
280;271.34435910935800000
281;271.34607530503700000
282;271.34777936850500000
283;271.34947142801000000
284;271.35115160992600000
285;271.35282003887100000
286;271.35447683774100000
287;271.35612212771300000
288;271.35775602831400000
289;271.35937865737700000
290;271.36099013111600000
291;271.36259056423600000
292;271.36418006975300000
293;271.36575875924800000
294;271.36732674270000000
295;271.36888412869000000
296;271.37043102426800000
297;271.37196753510700000
298;271.37349376538200000
299;271.37500981794100000
300;271.37651579427900000
301;271.37801179448100000
302;271.37949791737300000
303;271.38097426045200000
304;271.38244091995200000
305;271.38389799078600000
306;271.38534556673900000
307;271.38678374028800000
308;271.38821260274700000
309;271.38963224424800000
310;271.39104275375800000
311;271.39244421912700000
312;271.39383672704500000
313;271.39522036312400000
314;271.39659521189500000
315;271.39796135676500000
316;271.39931888016000000
317;271.40066786341300000
318;271.40200838688600000
319;271.40334052987600000
320;271.40466437077100000
321;271.40597998688700000
322;271.40728745468600000
323;271.40858684961900000
324;271.40987824619300000
325;271.41116171805800000
326;271.41243733795000000
327;271.41370517766800000
328;271.41496530820700000
329;271.41621779966500000
330;271.41746272125200000
331;271.41870014146100000
332;271.41993012782400000
333;271.42115274715900000
334;271.42236806544800000
335;271.42357614789700000
336;271.42477705894700000
337;271.42597086225000000
338;271.42715762072800000
339;271.42833739655800000
340;271.42951025118000000
341;271.43067624533100000
342;271.43183543903300000
343;271.43298789158400000
344;271.43413366162300000
345;271.43527280712900000
346;271.43640538535200000
347;271.43753145297100000
348;271.43865106590000000
349;271.43976427953400000
350;271.44087114855300000
351;271.44197172704900000
352;271.44306606849300000
353;271.44415422574800000
354;271.44523625110100000
355;271.44631219624300000
356;271.44738211226900000
357;271.44844604969100000
358;271.44950405852600000
359;271.45055618815200000
360;271.45160248747100000
361;271.45264300477800000
362;271.45367778789300000
363;271.45470688408900000
364;271.45573034010600000
365;271.45674820220100000
366;271.45776051605700000
367;271.45876732699400000
368;271.45976867972300000
369;271.46076461849100000
370;271.46175518712200000
371;271.46274042891300000
372;271.46372038673200000
373;271.46469510295500000
374;271.46566461953200000
375;271.46662897794700000
376;271.46758821928500000
377;271.46854238414500000
378;271.46949151270900000
379;271.47043564477100000
380;271.47137481967000000
381;271.47230907637600000
382;271.47323845336300000
383;271.47416298877300000
384;271.47508272039200000
385;271.47599768549500000
386;271.47690792110900000
387;271.47781346377600000
388;271.47871434967000000
389;271.47961061464300000
390;271.48050229419500000
391;271.48138942335400000
392;271.48227203693200000
393;271.48315016927000000
394;271.48402385443600000
395;271.48489312610100000
396;271.48575801766000000
397;271.48661856211700000
398;271.48747479213400000
399;271.48832674013700000
400;271.48917443812400000
401;271.49001791784300000
402;271.49085721068300000
403;271.49169234774200000
404;271.49252335982600000
405;271.49335027740100000
406;271.49417313067000000
407;271.49499194952800000
408;271.49580676353800000
409;271.49661760206500000
410;271.49742449408100000
411;271.49822746837400000
412;271.49902655336500000
413;271.49982177725200000
414;271.50061316797700000
415;271.50140075318600000
416;271.50218456024300000
417;271.50296461625800000
418;271.50374094814000000
419;271.50451358243200000
420;271.50528254554600000
421;271.50604786357100000
422;271.50680956235900000
423;271.50756766748400000
424;271.50832220439000000
425;271.50907319818400000
426;271.50982067370100000
427;271.51056465571100000
428;271.51130516856100000
429;271.51204223652600000
430;271.51277588354500000
431;271.51350613338700000
432;271.51423300961500000
433;271.51495653553500000
434;271.51567673423400000
435;271.51639362864900000
436;271.51710724146200000
437;271.51781759516500000
438;271.51852471199000000
439;271.51922861405000000
440;271.51992932317800000
441;271.52062686110000000
442;271.52132124927800000
443;271.52201250898900000
444;271.52270066134000000
445;271.52338572720500000
446;271.52406772731800000
447;271.52474668226400000
448;271.52542261230600000
449;271.52609553768000000
450;271.52676547833200000
451;271.52743245412500000
452;271.52809648465000000
453;271.52875758940300000
454;271.52941578763700000
455;271.53007109854100000
456;271.53072354104600000
457;271.53137313390400000
458;271.53201989579900000
459;271.53266384515300000
460;271.53330500033100000
461;271.53394337941200000
462;271.53457900043300000
463;271.53521188119500000
464;271.53584203943800000
465;271.53646949263000000
466;271.53709425815200000
467;271.53771635330800000
468;271.53833579509400000
469;271.53895260050100000
470;271.53956678633100000
471;271.54017836919000000
472;271.54078736564800000
473;271.54139379201300000
474;271.54199766458900000
475;271.54259899941600000
476;271.54319781246700000
477;271.54379411960700000
478;271.54438793651300000
479;271.54497927876200000
480;271.54556816178100000
481;271.54615460083400000
482;271.54673861119900000
483;271.54732020786000000
484;271.54789940576100000
485;271.54847621974100000
486;271.54905066445300000
487;271.54962275450300000
488;271.55019250429800000
489;271.55075992819500000
490;271.55132504038600000
491;271.55188785498600000
492;271.55244838598400000
493;271.55300664724800000
494;271.55356265253000000
495;271.55411641545500000
496;271.55466794959800000
497;271.55521726837000000
498;271.55576438511300000
499;271.55630931298200000
500;271.55685206517000000
501;271.55739265462700000
502;271.55793109425600000
503;271.55846739686000000
504;271.55900157516600000
505;271.55953364172900000
506;271.56006360906800000
507;271.56059148958500000
508;271.56111729556100000
509;271.56164103922100000
510;271.56216273267000000
511;271.56268238791800000
512;271.56320001689900000
513;271.56371563143300000
514;271.56422924324000000
515;271.56474086401400000
516;271.56525050523200000
517;271.56575817841200000
518;271.56626389497200000
519;271.56676766610800000
520;271.56726950308400000
521;271.56776941702100000
522;271.56826741892200000
523;271.56876351974100000
524;271.56925773037300000
525;271.56975006155400000
526;271.57024052403900000
527;271.57072912839600000
528;271.57121588519200000
529;271.57170080487700000
530;271.57218389784200000
531;271.57266517437000000
532;271.57314464470600000
533;271.57362231900600000
534;271.57409820728800000
535;271.57457231964300000
536;271.57504466591700000
537;271.57551525598000000
538;271.57598409960400000
539;271.57645120652400000
540;271.57691658633700000
541;271.57738024863300000
542;271.57784220287400000
543;271.57830245851000000
544;271.57876102486000000
545;271.57921791118900000
546;271.57967312679200000
547;271.58012668074200000
548;271.58057858219700000
549;271.58102884006100000
550;271.58147746336600000
551;271.58192446099700000
552;271.58236984175300000
553;271.58281361440600000
554;271.58325578761700000
555;271.58369637004900000
556;271.58413537023500000
557;271.58457279674400000
558;271.58500865797200000
559;271.58544296229600000
560;271.58587571811000000
561;271.58630693360400000
562;271.58673661705900000
563;271.58716477655700000
564;271.58759142021400000
565;271.58801655609700000
566;271.58844019216200000
567;271.58886233630700000
568;271.58928299645900000
569;271.58970218038200000
570;271.59011989583500000
571;271.59053615053800000
572;271.59095095211100000
573;271.59136430819600000
574;271.59177622633400000
575;271.59218671395900000
576;271.59259577854600000
577;271.59300342748500000
578;271.59340966809200000
579;271.59381450771200000
580;271.59421795348500000
581;271.59462001269300000
582;271.59502069237400000
583;271.59541999969800000
584;271.59581794167400000
585;271.59621452530500000
586;271.59660975749000000
587;271.59700364517700000
588;271.59739619521100000
589;271.59778741433000000
590;271.59817730940700000
591;271.59856588703700000
592;271.59895315395200000
593;271.59933911673400000
594;271.59972378200700000
595;271.60010715624500000
596;271.60048924600100000
597;271.60087005767400000
598;271.60124959769000000
599;271.60162787236600000
600;271.60200488807000000
601;271.60238065103300000
602;271.60275516755100000
603;271.60312844376200000
604;271.60350048579000000
605;271.60387129982300000
606;271.60424089191300000
607;271.60460926805400000
608;271.60497643425700000
609;271.60534239648800000
610;271.60570716061100000
611;271.60607073256000000
612;271.60643311809600000
613;271.60679432309700000
614;271.60715435330200000
615;271.60751321440500000
616;271.60787091209800000
617;271.60822745205300000
618;271.60858283983300000
619;271.60893708108700000
620;271.60929018129200000
621;271.60964214596200000
622;271.60999298062400000
623;271.61034269062900000
624;271.61069128140400000
625;271.61103875833900000
626;271.61138512673900000
627;271.61173039192000000
628;271.61207455912900000
629;271.61241763356400000
630;271.61275962051600000
631;271.61310052504500000
632;271.61344035234500000
633;271.61377910750900000
634;271.61411679554200000
635;271.61445342156500000
636;271.61478899049200000
637;271.61512350736800000
638;271.61545697710900000
639;271.61578940464800000
640;271.61612079478900000
641;271.61645115246000000
642;271.61678048242800000
643;271.61710878952400000
644;271.61743607844000000
645;271.61776235397000000
646;271.61808762080400000
647;271.61841188359100000
648;271.61873514695000000
649;271.61905741556100000
650;271.61937869395100000